name,party,dim1,dim2
Albrecht Glaser,AfD,0.01053383658589383,0.02715670161662802
Alexander Gauland,AfD,0.009714453092598432,0.020443534992049824
Alice Weidel,AfD,0.012561286779756597,0.02329854833538563
Andreas Bleck,AfD,0.010953127619702397,0.027697723524022312
Barbara Benkstein,AfD,0.010800573145973272,0.022306549383524096
Beatrix von Storch,AfD,0.010725210944776107,0.028337742957469183
Bernd Baumann,AfD,0.010278929390223549,0.025497511747006745
Bernd Schattner,AfD,0.009499266178879213,0.023473616937548035
Carolin Bachmann,AfD,0.008362888983735606,0.01852624540027427
Christian Wirth,AfD,0.010152721709932585,0.026077362088740882
Christina Baum,AfD,0.007336275001488273,0.016680894004618387
Corinna Miazga,AfD,0.016488798161367783,0.0021722270550390264
Dietmar Friedhoff,AfD,0.013462272131722915,0.02079401310706782
Dirk Brandes,AfD,0.010934648145709438,0.02601987659734799
Dirk Spaniel,AfD,0.010499306922157867,0.025336349114148227
Edgar Naujok,AfD,0.007822023811702853,0.01622703012949483
Enrico Komning,AfD,0.011388042411147638,0.02386395241517234
Eugen Schmidt,AfD,0.010897574883899612,0.0245963530707655
Fabian Jacobi,AfD,0.009793831681681681,0.026855882842517425
Frank Rinck,AfD,0.010009015926538325,0.024887441372393845
Gereon Bollmann,AfD,0.011086381520827462,0.0250359008034294
Gerold Otten,AfD,0.011085039998896198,0.022760184875503745
Gerrit Huy,AfD,0.010207560847797,0.026570653442622355
Gottfried Curio,AfD,0.01024918549795702,0.0242911797919385
Götz Frömming,AfD,0.01043971594433439,0.027924707255439288
Hannes Gnauck,AfD,0.010640616844054188,0.027532133734295566
Harald Weyel,AfD,0.010224715761907848,0.020573231825139576
Jan Ralf Nolte,AfD,0.01190744958397728,0.029073978918239665
Jan Wenzel Schmidt,AfD,0.009587792712816382,0.018980110835378143
Joachim Wundrak,AfD,0.014027536919783702,0.030216007574035565
Jochen Haug,AfD,0.010128823313883015,0.019638470568395686
Jörg Schneider,AfD,0.010687410869435775,0.02266367238338322
Jörn König,AfD,0.011230636924309352,0.026191228519844522
Jürgen Braun,AfD,0.010944144570070017,0.02791132547177589
Jürgen Pohl,AfD,0.012596022387571083,0.017765177001335227
Karsten Hilse,AfD,0.007983416211087406,0.022635604106341342
Kay Gottschalk,AfD,0.009799457277715347,0.023605215172385178
Kay-Uwe Ziegler,AfD,0.008404423114214726,0.020214763859077358
Klaus Stöber,AfD,0.012368881352365128,0.020578634066748203
Leif-Erik Holm,AfD,0.011712881672157772,0.02660070859889903
Malte Kaufmann,AfD,0.010459881399458908,0.01846553512631671
Manfred Schiller,AfD,0.020979767561435082,0.006769486701812431
