name,party,dim1,dim2
Albrecht Glaser,AfD,0.034442139255319616,-0.10049755921906273
Alexander Gauland,AfD,0.028446430012765735,-0.09470577191852328
Alice Weidel,AfD,0.0289492026128595,-0.08497827817004187
Andreas Bleck,AfD,0.03442451978930367,-0.09846720130053022
Barbara Benkstein,AfD,0.027959127821554092,-0.08512995394544984
Beatrix von Storch,AfD,0.03560808967296956,-0.10213137431106228
Bernd Baumann,AfD,0.032066170123574836,-0.09336514278260329
Bernd Schattner,AfD,0.031440505999920564,-0.10141801649160731
Carolin Bachmann,AfD,0.02564291463796238,-0.0737334854668118
Christian Wirth,AfD,0.033030716155612865,-0.09483285101269803
Christina Baum,AfD,0.02526871771165643,-0.09137966768215733
Corinna Miazga,AfD,4.114719237825791e-4,-3.934446069881443e-4
Dietmar Friedhoff,AfD,0.02596190481480435,-0.08902084773163817
Dirk Brandes,AfD,0.03342596794864839,-0.10438583383976709
Dirk Spaniel,AfD,0.032244311270042195,-0.09570060584077153
Edgar Naujok,AfD,0.022655489080144642,-0.06377055084543183
Enrico Komning,AfD,0.030277497760933976,-0.09495676734766718
Eugen Schmidt,AfD,0.030208675728983374,-0.0858122338087241
Fabian Jacobi,AfD,0.03476801454853657,-0.10533727642412084
Frank Rinck,AfD,0.03178088085615885,-0.0963586381295079
Gereon Bollmann,AfD,0.031540339615089244,-0.0943802675257877
Gerold Otten,AfD,0.028398855644528,-0.08551884037105972
Gerrit Huy,AfD,0.03435984992726531,-0.10236992733966638
Gottfried Curio,AfD,0.031525959573091136,-0.09998218197302397
Götz Frömming,AfD,0.03498594036594646,-0.09929836219858582
Hannes Gnauck,AfD,0.034681948056925545,-0.10372569189289037
Harald Weyel,AfD,0.027381742612891186,-0.08368871500595913
Jan Ralf Nolte,AfD,0.034765222298183025,-0.09136084150751174
Jan Wenzel Schmidt,AfD,0.027008285168051337,-0.10039348757209021
Joachim Wundrak,AfD,0.03436448598160077,-0.08465810579748695
Jochen Haug,AfD,0.025894288267397106,-0.08837947490297954
Jörg Schneider,AfD,0.027820754228009434,-0.081893432455838
Jörn König,AfD,0.032783305275099525,-0.09805150258259653
Jürgen Braun,AfD,0.03521281032666451,-0.10418185998151125
Jürgen Pohl,AfD,0.02234834126980612,-0.06511492826751933
Karsten Hilse,AfD,0.03208876615669243,-0.10572472255434491
Kay Gottschalk,AfD,0.031006125737071295,-0.09934902037999879
Kay-Uwe Ziegler,AfD,0.028339552808738736,-0.09918211390327195
Klaus Stöber,AfD,0.02578795460578388,-0.07640907547224829
Leif-Erik Holm,AfD,0.03199606324068747,-0.08984952739477643
Malte Kaufmann,AfD,0.026063486242364313,-0.09915462904287622
Manfred Schiller,AfD,0.004200554769656587,-0.009600427049261036
Marc Bernhard,AfD,0.03219473011103212,-0.10054157232388558
Marc Jongen,AfD,0.0196528454083324,-0.07072643277172004
Marcus Bühl,AfD,0.03491994049800819,-0.10777500599906198
Mariana Harder-Kühnel,AfD,0.018758406136516016,-0.0619448252139159
Markus Frohnmaier,AfD,0.028146400089460625,-0.0910242152483821
Martin Erwin Renner,AfD,0.022446820849785956,-0.07390104247927871
Martin Hess,AfD,0.02689304319198384,-0.09079380235530486
Martin Reichardt,AfD,0.026730352514426695,-0.07108878973544101
Martin Sichert,AfD,0.030577319894772716,-0.10027024915330673
Matthias Moosdorf,AfD,0.027485815259182374,-0.06785617075559372
Michael Espendiller,AfD,0.03318756853029748,-0.10745145349145829
Michael Kaufmann,AfD,0.03239764674229481,-0.10478168642439542
Mike Moncsek,AfD,0.03193554303081748,-0.10507191337156108
Nicole Höchst,AfD,0.030191232461696672,-0.09067853971302597
Norbert Kleinwächter,AfD,0.03294418312592109,-0.08940374458902113
Peter Boehringer,AfD,0.03216158480520438,-0.10562105170678583
Peter Felser,AfD,0.03416049421758532,-0.10375600361752378
Petr Bystron,AfD,0.015882393337617224,-0.053173376886912815
Rainer Kraft,AfD,0.03974932647178437,-0.08502131044914693
Rainer Rothfuß,AfD,0.021692421331454867,-0.057508743079489284
René Bochmann,AfD,0.03439406475067847,-0.10174290763043303
René Springer,AfD,0.022594365153785982,-0.07099045589086196
Roger Beckamp,AfD,0.0281945427993244,-0.08474496699665686
Rüdiger Lucassen,AfD,0.02793073859051731,-0.08922096301064734
Sebastian Münzenmaier,AfD,0.03199230220986699,-0.0962607737543665
Stefan Keuter,AfD,0.03227541157355278,-0.10534368743309148
Steffen Janich,AfD,0.031413162939424553,-0.10221370662986037
Steffen Kotré,AfD,0.03200925797141966,-0.08130097591362839
Stephan Brandner,AfD,0.03247306262440036,-0.10255087099547877
Stephan Protschka,AfD,0.031194170490156905,-0.08970029222531552
Thomas Dietz,AfD,0.030588849915086702,-0.09648811282694784
Thomas Ehrhorn,AfD,0.033012341268701194,-0.09385051919895826
Thomas Seitz,AfD,0.028090137878996353,-0.08439093586979425
Tino Chrupalla,AfD,0.030405248723393806,-0.09255021798607024
Tobias Matthias Peterka,AfD,0.032857237624975805,-0.10015548963254112
Ulrike Schielke-Ziesing,AfD,0.0311705644408481,-0.09162658707629392
Uwe Schulz,AfD,0.015919337215575775,-0.05720474035748996
Volker Münz,AfD,0.004200554769656578,-0.009600427049261017
Wolfgang Wiehle,AfD,0.034765919283626774,-0.10716201185197033
Agnieszka Brugger,BÜNDNIS 90/DIE GRÜNEN,-0.03129808310150801,0.010411344076158803
Andreas Audretsch,BÜNDNIS 90/DIE GRÜNEN,-0.03336231944272081,0.008352241062875748
Anja Liebert,BÜNDNIS 90/DIE GRÜNEN,-0.035397505173140706,0.008935098747334898
Anja Reinalter,BÜNDNIS 90/DIE GRÜNEN,-0.03399494265778177,0.010582962493539143
Anna Christmann,BÜNDNIS 90/DIE GRÜNEN,-0.031583494994930045,0.010875098253069725
Anna Lührmann,BÜNDNIS 90/DIE GRÜNEN,-0.03157673061858998,0.008788878759104463
Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,-0.01845171205500126,0.0036811730414807974
Anne-Monika Spallek,BÜNDNIS 90/DIE GRÜNEN,-0.029260486634738965,0.0033213325588735913
Anton Hofreiter,BÜNDNIS 90/DIE GRÜNEN,-0.030320026083800116,0.008742499224933696
Armin Grau,BÜNDNIS 90/DIE GRÜNEN,-0.03285344493051353,0.011984126009028814
Awet Tesfaiesus,BÜNDNIS 90/DIE GRÜNEN,-0.03174033528744819,0.010861167735940378
Beate Müller-Gemmeke,BÜNDNIS 90/DIE GRÜNEN,-0.03269398804330016,0.008639492375878967
Beate Walter-Rosenheimer,BÜNDNIS 90/DIE GRÜNEN,-0.023287482904556584,0.007732885093254802
Bernhard Herrmann,BÜNDNIS 90/DIE GRÜNEN,-0.03273185279991072,0.011908135771285236
Bettina Hoffmann,BÜNDNIS 90/DIE GRÜNEN,-0.03341387481099743,0.007590144526713088
Boris Mijatović,BÜNDNIS 90/DIE GRÜNEN,-0.03284448515832902,0.012403611739620044
Britta Haßelmann,BÜNDNIS 90/DIE GRÜNEN,-0.03524673244512128,0.007949187893673179
Bruno Hönel,BÜNDNIS 90/DIE GRÜNEN,-0.03381699009841457,0.008432563696503517
