name,party,irt,svd_imp,svd_dc
Achim Post,SPD,-1.1891001808936532,0.042768554397289056,-0.031846352141719846
Adis Ahmetović,SPD,-0.7253101214811004,0.04279840975343121,-0.030490707999346934
Agnieszka Brugger,BÜNDNIS 90/DIE GRÜNEN,-0.8946026257312746,0.042997942546216354,-0.03129808310150801
Albert Rupprecht,CDU/CSU,1.03547670801574,0.028992824758857758,0.05485066821141118
Albert Stegemann,CDU/CSU,0.9128964081640956,0.029805621682585253,0.05257118519356756
Albrecht Glaser,AfD,1.435228027048362,0.01053383658589383,0.034442139255319616
Alexander Bartz,SPD,-0.58084951292272,0.043168949809357794,-0.022322566937871078
Alexander Dobrindt,CDU/CSU,0.982244822759431,0.029273649672252718,0.054659391104841845
Alexander Engelhard,CDU/CSU,0.9266074515897614,0.03223068279907825,0.04407737610949644
Alexander Föhr,CDU/CSU,0.9946468152517628,0.03205283092965989,0.03212577584575578
Alexander Gauland,AfD,1.5865192360562355,0.009714453092598432,0.028446430012765735
Alexander Graf Lambsdorff,FDP,-0.34586426132827763,0.04271136333009443,-0.013717410034592804
Alexander Hoffmann,CDU/CSU,0.9299771911342761,0.029221027076711373,0.056535420445939635
Alexander Müller,FDP,-0.3004041373243798,0.042912857067755335,-0.027659377675388837
Alexander Radwan,CDU/CSU,0.9686027325787965,0.029697669588103624,0.05618014172371507
Alexander Throm,CDU/CSU,0.965466055733122,0.030038926572360555,0.055185098782996544
Alexander Ulrich,DIE LINKE.,1.3835216380047173,0.011978530770471656,0.009465253704012378
Ali Al-Dailami,DIE LINKE.,1.3826237417401086,0.012610508756739344,0.007738282978200706
Alice Weidel,AfD,1.5181449682711745,0.012561286779756597,0.0289492026128595
Alois Rainer,CDU/CSU,0.9701212146193605,0.029090941039014995,0.05677165116252601
Amira Mohamed Ali,DIE LINKE.,1.3807051633934952,0.013538006711378987,0.010075375029256107
Ana-Maria Trăsnea,SPD,-0.8975764328017131,0.04081341257819998,-0.010165870491789004
André Berghegger,CDU/CSU,0.9415276655500981,0.029508271189012995,0.03948416326587969
André Hahn,DIE LINKE.,1.3491046940617943,0.011242097070713693,0.007383885535543521
Andrea Lindholz,CDU/CSU,0.9472418864421406,0.029051902567907458,0.051009025988109837
Andreas Audretsch,BÜNDNIS 90/DIE GRÜNEN,-0.8115954033600848,0.04311573232313577,-0.03336231944272081
Andreas Bleck,AfD,1.473639964068643,0.010953127619702397,0.03442451978930367
Andreas Jung,CDU/CSU,0.97076985574804,0.029841811575592153,0.051821829753748265
Andreas Larem,SPD,-1.5560756741328459,0.04319575518774208,-0.032587481471926014
Andreas Lenz,CDU/CSU,0.9632372422227656,0.029381753794200476,0.053835725216532675
Andreas Mattfeldt,CDU/CSU,0.9814771054066579,0.030279118594321277,0.04064924242349926
Andreas Mehltretter,SPD,-1.1915142602835096,0.04311375346856987,-0.03354184736624922
Andreas Philippi,SPD,-0.7369794994031584,0.041621339277934065,-0.014348751398664086
Andreas Rimkus,SPD,-0.642224702378987,0.04292780796867955,-0.03228542206326666
Andreas Scheuer,CDU/CSU,0.9808027555972072,0.028950110035249835,0.03736294397482
Andreas Schwarz,SPD,-0.7770040071783211,0.042455760459644436,-0.03168748692708813
Andrej Hunko,DIE LINKE.,1.3816311935076344,0.011628889700262268,0.006992824612246729
Andrew Ullmann,FDP,-0.6378034237121335,0.04290104262250243,-0.02944576805227629
Anette Kramme,SPD,-0.99434139367577,0.042848770842729325,-0.02745971265052399
Angela Hohmann,SPD,-0.5222454179945066,0.04258791297520244,-0.007367738690577223
Angelika Glöckner,SPD,-1.102640450622931,0.043266373995914376,-0.0321165876129786
Anikó Glogowski-Merten,FDP,-0.1600398915414241,0.04247319830435206,-0.03226839538045133
Anja Karliczek,CDU/CSU,0.9700208739844532,0.0300014768153622,0.05455417848730155
Anja Liebert,BÜNDNIS 90/DIE GRÜNEN,-1.0919914327438411,0.04312214679098734,-0.035397505173140706
Anja Reinalter,BÜNDNIS 90/DIE GRÜNEN,-1.173217038296421,0.04314457455683687,-0.03399494265778177
